epoch,train_loss,train_iou,train_precision,train_recall,train_f1,train_mae,val_loss,val_iou,val_precision,val_recall,val_f1,val_mae
1,0.8726380896568299,0.3554052471050194,0.5477566716500691,0.5092780736088752,0.5089367952517101,0.34785253294876645,0.8371593268712362,0.42858998775482177,0.4987486533323924,0.7847609941164653,0.592580996354421,0.2964325459798177
2,0.7701936064447675,0.44114478417805264,0.6176233385290418,0.622508956023625,0.6078966956479209,0.27429866075515746,0.7570517611503601,0.3923980955282847,0.6298752816518148,0.5360723972320557,0.5571028685569763,0.24607451597849528
3,0.7527112879071917,0.4599557057448796,0.6309591976233891,0.6454996989454542,0.6241728847367423,0.26148973379816326,0.8410829496383667,0.4458887708187103,0.5041698292891185,0.8252798771858215,0.6091426682472229,0.27277268171310426
4,0.7368985390663148,0.4624329773017338,0.6332863065174648,0.6539925723416464,0.6282874240194048,0.2527145321028573,0.7365883167584737,0.4577142663796743,0.5665062856674195,0.7277245020866394,0.6211207230885823,0.25057908217112224
5,0.7079487926619393,0.4913613565479006,0.6591748855795179,0.6718628661973136,0.6538753226825169,0.23577923340456827,0.8048231879870097,0.46677220265070596,0.5445084238052368,0.7966656001408895,0.6287802211443583,0.2462649428844452
6,0.7142474404403142,0.49384765778269085,0.6560470085484641,0.6818855498518263,0.6553434690407344,0.2376693878855024,0.680090803305308,0.4742470606168111,0.6183146874109904,0.6911239568392435,0.6368428468704224,0.21856330434481303
7,0.6953987453665053,0.5097751346656254,0.6613507536479405,0.708315327678408,0.6703719682352883,0.22931980771677835,0.6937556608517965,0.47019978364308673,0.615257568359375,0.6967662771542867,0.6333304413159688,0.22976985335350036
8,0.6780830347537994,0.5106054828848158,0.6756015920639038,0.6963111022540501,0.6717500346047538,0.2244499444961548,0.6914875761667887,0.47539547324180603,0.6107346129417419,0.7079117306073507,0.6366291173299153,0.220291166305542
9,0.6844642402444567,0.5123433133534022,0.6799175022329603,0.6906556418963841,0.6720960581302643,0.22380891527448382,0.6780155237515767,0.4916015938917796,0.6185540548960368,0.7296087185541789,0.6530227812131246,0.20321771383285522
10,0.6654143939699445,0.5246188565662929,0.6813071950844356,0.7092107605934143,0.683192138160978,0.21824581478323254,0.656535697778066,0.4877038423220317,0.6815255085627238,0.6535836243629456,0.6493430415789286,0.2043795375029246
11,0.6665401727812631,0.5177052199840546,0.6769977332012994,0.7041688457557134,0.6767941289288657,0.2171498611995152,0.6641266616185506,0.4887984081109365,0.6604482992490133,0.6811249963442485,0.650238463083903,0.19531924923261007
12,0.6629173854419164,0.5316905668803624,0.6899621728488378,0.7170368947301592,0.6888611456326076,0.2154297695841108,0.6466640138626099,0.5071063236395518,0.6506302976608276,0.7199301067988078,0.6661692444483439,0.19959999044736226
13,0.6551781465326036,0.5353889613492149,0.6861126691954477,0.728969749893461,0.6918418317181724,0.21257975331374576,0.6501674922307332,0.5174968147277832,0.6383197649319967,0.7579048260052998,0.6755579868952434,0.21071122864882152
14,0.6282724957806723,0.5537770441600255,0.6988576868602208,0.74313015631267,0.7072273555823735,0.2025822445324489,0.6352839136123657,0.5188990195592245,0.6424960740407308,0.7512572264671326,0.6762299068768819,0.19373674670855204
15,0.6338334344114576,0.5557031699589321,0.7076208657877786,0.7362134887490954,0.7088580685002464,0.1994338389805385,0.6646964454650879,0.5166254091262817,0.605395675500234,0.8024243847529093,0.6737934446334839,0.2122782611846924
